Title,Location,Price,Size,Listing_Type
Residential Land for Sale in Al Batinah Rustaq,", Rustaq, 936449XX","34,000 OMR",150.0,for sale
جراج للبيع في المعبيلة الصناعية شارع رقم 2,", Al Maabilah, 784333XX","9,000 OMR",1000.0,for sale
86 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,", Al Khoud, 990020XX","26,000 OMR",86.0,for sale
457 m2 5 Bedrooms Villa for Sale in Al Batinah Barka,", Barka, 958816XX","120,000 OMR",457.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 932600XX","40,000 OMR",150.0,for sale
Farm Land for Sale in Al Batinah Barka,", Barka, 962502XX","74,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 921239XX","15,000 OMR",150.0,for sale
Mixed Use Land for Sale in Muscat Amerat,", Amerat, 926568XX","69,000 OMR",150.0,for sale
Commercial Land for Sale in Al Dakhiliya Sumail,", Sumail, 921239XX","65,000 OMR",150.0,for sale
312 m2 4 Bedrooms Townhouse for Sale in Muscat Al Maabilah,", Al Maabilah, 921239XX","68,000 OMR",312.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 773353XX","14,000 OMR",150.0,for sale
All types of Warehouse available,", Ghala, 966952XX","1,000 OMR",600.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 953130XX","19,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 923997XX","8,700 OMR",150.0,for sale
Residential Land for Sale in Buraimi Al Buraimi,", Al Buraimi, 952222XX","8,700 OMR",150.0,for sale
340 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Manah,", Manah, 902033XX","50,000 OMR",340.0,for sale
90 m2 2 Bedrooms Townhouse for Sale in Al Batinah Saham,", Saham, 988699XX","13,000 OMR",90.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 944111XX","22,000 OMR",150.0,for sale
Commercial Land for Sale in Muscat Halban,", Halban, 944111XX","80,000 OMR",150.0,for sale
Industrial Land for Sale in Al Batinah Barka,", Barka, 966633XX","90,000 OMR",150.0,for sale
Commercial Land for Sale in Muscat Bosher,", Bosher, 959988XX","450,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 944111XX","20,500 OMR",150.0,for sale
372 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 944433XX","112,000 OMR",372.0,for sale
Commercial Land for Sale in Muscat Al Maabilah,", Al Maabilah, 959988XX","650,000 OMR",150.0,for sale
372 m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,", Al-Hail, 944433XX","112,000 OMR",372.0,for sale
Farm Land for Sale in Muscat Seeb,", Seeb, 944111XX","165,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 710933XX","75,000 OMR",150.0,for sale
Commercial Land for Sale in Al Batinah Barka,", Barka, 944111XX","28,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 799998XX","12,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Manumah,", Manumah, 799998XX","27,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 799998XX","19,500 OMR",150.0,for sale
350 m2 5 Bedrooms Villa for Sale in Muscat Seeb,", Seeb, 959585XX","66,000 OMR",350.0,for sale
Residential Land for Sale in Muscat Al Khoud,", Al Khoud, 799998XX","30,500 OMR",150.0,for sale
Residential Land for Sale in Al Dhahirah Ibri,", Ibri, 940409XX","14,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Rumais,", Al Rumais, 799998XX","12,800 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 799998XX","14,900 OMR",150.0,for sale
Residential Land for Sale in Muscat Madinat As Sultan Qaboos,", Madinat As Sultan Qaboos, 917538XX","160,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 985424XX","8,200 OMR",150.0,for sale
One bed room see view off plan in gulf link al mouj,", Al Mouj, 901133XX","149,000 OMR",84.0,for sale
ولأول مرة أقوى العروض الاستثمارية تملك محلك التجاري في أقوى سوق على اول خط رئيسي في ولاية بركاء,", Al Khoud, 771110XX","15,392 OMR",38.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 927279XX","31,500 OMR",150.0,for sale
حصرياً لا تفوت الفرصة الذهبية واستثمر في أقوى سوق تجاري في ولاية بركاء على الشارع العام مباشر,", Al Khuwair, 771110XX","36,356 OMR",38.0,for sale
واخيراً أنتهز الفرصة الذهبية وتملك محلك التجاري على اول خط رئيسي من شارع السلطان قابوس في ولاية بركا,", Azaiba, 771110XX","20,601 OMR",22.0,for sale
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 927279XX","48,000 OMR",150.0,for sale
أقوى الفرص الاستثمارية تملك محلك مع محمد الرواحي في أفخم سوق تجاري في ولاية بركاء وبخطة سداد مريحه,", Ghubrah, 771110XX","29,406 OMR",30.0,for sale
"Premium 5-Bedroom Luxury Villa in Golf Links, Almouj with access to golf link facilities and hotel",", Al Mouj, 901133XX","601,000 OMR",314.0,for sale
Farm Land for Sale in Al Dhahirah Dhank,", Dhank, 991600XX","26,000 OMR",150.0,for sale
Residential Land for Sale in Buraimi Al Buraimi,", Al Buraimi, 998698XX","8,000 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Sumail,", Sumail, 995786XX","9,500 OMR",150.0,for sale
A2 Gl2  one bedroom apartment in Gulf link  Ready in 2 years,", Al Mouj, 901133XX","155,000 OMR",83.0,for sale
Mixed Use Land for Sale in Muscat Bosher,", Bosher, 988969XX","1,800,000 OMR",150.0,for sale
Mixed Use Land for Sale in Muscat Bosher,", Bosher, 988969XX","900,000 OMR",150.0,for sale
277 m2 4 Bedrooms Townhouse for Sale in Muscat Al Maabilah,", Al Maabilah, 988969XX","95,000 OMR",277.0,for sale
71800 m2 1 Bedroom Apartments for Sale in Muscat Seeb,", Seeb, 944111XX","32,800 OMR",71800.0,for sale
71800 m2 1 Bedroom Apartments for Sale in Muscat Qurm,", Qurm, 944111XX","32,800 OMR",71800.0,for sale
71800 m2 1 Bedroom Apartments for Sale in Muscat Ghubrah,", Ghubrah, 944111XX","32,800 OMR",71800.0,for sale
71800 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 944111XX","32,800 OMR",71800.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 770887XX","65,000 OMR",150.0,for sale
أحجز محلك التجاري مع محمد الرواحي في أفخم وأكبر سوق تجاري في ولاية بركاء على اول خط رئيسي,", Bosher, 771110XX","17,316 OMR",38.0,for sale
أنتهز الفرصة الذهبية مع محمد الرواحي وتملك محلك التجاري في أقوى سوق تجاري في ولاية بركاء ب11 الف,", Barka, 771110XX","11,115 OMR",24.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 951237XX","68,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Wadi Al Ma'awal,", Wadi Al Ma'awal, 951237XX","40,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 951237XX","77,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Ansab,", Ansab, 951237XX","23,000 OMR",150.0,for sale
Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,", Ja'alan Bani Bu Ali, 929099XX","16,500 OMR",150.0,for sale
Residential Land for Sale in Al Wustaa Al Duqum,", Al Duqum, 951237XX","30,000 OMR",150.0,for sale
Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,", Ja'alan Bani Bu Ali, 929099XX","11,800 OMR",150.0,for sale
Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,", Ja'alan Bani Bu Ali, 921606XX","14,000 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Sumail,", Sumail, 925532XX","15,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 988969XX","18,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 988969XX","50,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 988969XX","50,000 OMR",150.0,for sale
713 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 988969XX","200,000 OMR",713.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 988969XX","28,000 OMR",150.0,for sale
Farm Land for Sale in Al Dhahirah Ibri,", Ibri, 988969XX","34,000 OMR",150.0,for sale
270 m2 5 Bedrooms Villa for Sale in Muscat Seeb,", Seeb, 988969XX","73,000 OMR",270.0,for sale
422 m2 5 Bedrooms Villa for Sale in Muscat Barr al Jissah,", Barr al Jissah, 988969XX","560,000 OMR",422.0,for sale
Residential Land for Sale in Muscat Al Khuwair,", Al Khuwair, 988969XX","185,000 OMR",150.0,for sale
85 m2 2 Bedrooms Apartments for Sale in Muscat Seeb,", Seeb, 988969XX","25,000 OMR",85.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 988969XX","90,000 OMR",150.0,for sale
250 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka,", Barka, 955996XX","53,000 OMR",250.0,for sale
Residential Land for Sale in Al Sharqiya Bidiya,", Bidiya, 928445XX","14,000 OMR",150.0,for sale
100 m2 2 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah,", Al Masnaah, 933640XX","24,000 OMR",100.0,for sale
Commercial Land for Sale in Al Batinah Sohar,", Sohar, 990782XX","25,000 OMR",150.0,for sale
Al Barka chalet in the al Ibar  استراحة في العبر بركا,", Barka, 977499XX","65,000 OMR",224.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 965855XX","70,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 965065XX","39,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Rumais,", Al Rumais, 985424XX","17,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 985424XX","13,500 OMR",150.0,for sale
421 m2 5 Bedrooms Townhouse for Sale in Muscat Al Khuwair,", Al Khuwair, 901573XX","180,000 OMR",421.0,for sale
Residential Land for Sale in Al Dakhiliya Manah,", Manah, 996367XX","14,000 OMR",150.0,for sale
240 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 992100XX","75,000 OMR",240.0,for sale
1198 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 927943XX","370,000 OMR",1198.0,for sale
للبيع سجل تجاري مقهى,", Ibri, 966959XX","2,000 OMR",40.0,for sale
Residential Land for Sale in Al Batinah Sohar,", Sohar, 928455XX","7,500 OMR",150.0,for sale
400 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Maabilah,", Al Maabilah, 944268XX",480 OMR,400.0,for sale
Commercial Land for Sale in Al Batinah Barka,", Barka, 954424XX","38,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Sohar,", Sohar, 992120XX","4,000 OMR",150.0,for sale
1 Bedroom Farms for Sale in Al Batinah Barka,", Barka, 954424XX","48,000 OMR",130.0,for sale
230 m2 3 Bedrooms Villa for Sale in Al Batinah Al Rumais,", Al Rumais, 927943XX","52,000 OMR",230.0,for sale
120 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 927943XX","42,000 OMR",120.0,for sale
Building for Sale in Muscat Other,", Other, 982662XX","380,000 OMR",150.0,for sale
Land for Sale in Al Sharqiya Sur,", Sur, 954754XX","2,121 OMR",150.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 965855XX","90,000 OMR",150.0,for sale
Building for Sale in Al Batinah Liwa,", Liwa, 951444XX","220,000 OMR",300.0,for sale
ITC Freehold Apartments  Muscat’s Hidden Gems — With Agent Cena,", Muscat Hills, 921107XX","75,000 OMR",93.0,for sale
62 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 939918XX","25,000 OMR",62.0,for sale
Farm Land for Sale in Al Batinah Barka,", Barka, 951790XX","60,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Shinas,", Shinas, 928566XX","4,000 OMR",150.0,for sale
Mixed Use Land for Sale in Al Batinah Sohar,", Sohar, 967007XX","26,000 OMR",150.0,for sale
288 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka,", Barka, 933066XX","57,500 OMR",288.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 951790XX","18,000 OMR",150.0,for sale
300 m2 5 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 924555XX","75,000 OMR",300.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 951790XX","17,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 998352XX","18,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 966688XX","11,500 OMR",150.0,for sale
86 m2 2 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 973414XX","22,000 OMR",86.0,for sale
208 m2 3 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 942274XX","42,000 OMR",208.0,for sale
Mixed Use Land for Sale in Al Batinah Barka,", Barka, 925810XX","1,300,000 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Sumail,", Sumail, 936593XX","30,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 993329XX","18,000 OMR",150.0,for sale
للبيع وللإيجار معرض مفتوح بالكامل في الموالح خط أول شارع الموج تكييف مركزي  المساحه 125 متر,", Al Mawaleh, 954424XX","95,000 OMR",125.0,for sale
250 m2 3 Bedrooms Townhouse for Sale in Dhofar Salala,", Salala, 996768XX","43,000 OMR",250.0,for sale
Commercial Land for Sale in Muscat Al Maabilah,", Al Maabilah, 982662XX","180,000 OMR",150.0,for sale
Residential Land for Sale in Buraimi Al Buraimi,", Al Buraimi, 990655XX","4,700 OMR",150.0,for sale
150 m2 4 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah,", Al Masnaah, 969793XX","11,100 OMR",150.0,for sale
Mixed Use Land for Sale in Muscat Ansab,", Ansab, 775118XX","72,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 964041XX","23,800 OMR",150.0,for sale
Cafe for sale in bosher,", Bosher, 956846XX","9,000 OMR",100.0,for sale
Residential Land for Sale in Al Sharqiya Ibra,", Ibra, 964670XX","7,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 946224XX","23,000 OMR",150.0,for sale
محل حلاقة للبيغ,", Other, 933125XX","3,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 925418XX","32,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Saham,", Saham, 951551XX","8,000 OMR",150.0,for sale
175 m2 3 Bedrooms Villa for Sale in Al Batinah Barka,", Barka, 710933XX","53,000 OMR",175.0,for sale
650 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 710933XX","170,000 OMR",650.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 925418XX","25,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 925418XX","6,500 OMR",150.0,for sale
Residential Land for Sale in Dhofar Taqah,", Taqah, 925418XX","30,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 949377XX","7,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 925418XX","150,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Sadah,", Sadah, 925418XX","7,500 OMR",150.0,for sale
Commercial Land for Sale in Dhofar Salala,", Salala, 925418XX","50,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 925418XX","10,800 OMR",150.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 925418XX","23,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Mirbat,", Mirbat, 925418XX","7,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Sohar,", Sohar, 966687XX","9,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 925418XX","15,000 OMR",150.0,for sale
3 Bedrooms Farms for Sale in Dhofar Mirbat,", Mirbat, 925418XX","65,000 OMR",285.0,for sale
299 m2 5 Bedrooms Villa for Sale in Dhofar Salala,", Salala, 925418XX","60,000 OMR",299.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 925418XX","80,000 OMR",150.0,for sale
Building for Sale in Dhofar Salala,", Salala, 925418XX","78,000 OMR",400.0,for sale
Commercial Land for Sale in Dhofar Mirbat,", Mirbat, 925418XX","12,000 OMR",150.0,for sale
280 m2 5 Bedrooms Villa for Sale in Al Batinah Al Masnaah,", Al Masnaah, 791007XX","2,500 OMR",280.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 710933XX","46,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 963066XX","6,500 OMR",150.0,for sale
محل قهوه مختص مع العامل خبره 10 سنوات تقريبا فالمجال,", Al Kamil and Al Waafi, 911192XX","5,500 OMR",30.0,for sale
Sustainable investment  ا oman   ا Buy installment property ا Family permanent residence,", Al Mouj, 939918XX","1,406,000 OMR",907.0,for sale
262 m2 3 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 951252XX","53,000 OMR",262.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 925418XX","5,000 OMR",150.0,for sale
227 m2 3 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 942274XX","52,000 OMR",227.0,for sale
Mixed Use Land for Sale in Dhofar Thumrait,", Thumrait, 926568XX","12,300 OMR",150.0,for sale
381 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 997807XX","95,000 OMR",381.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 922454XX","65,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 939364XX","33,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 990005XX","5,200 OMR",150.0,for sale
Mixed Use Land for Sale in Al Dhahirah Ibri,", Ibri, 711456XX","19,500 OMR",150.0,for sale
Residential Land for Sale in Al Dhahirah Ibri,", Ibri, 955800XX","1,000 OMR",150.0,for sale
Farm Land for Sale in Al Dakhiliya Bahla,", Bahla, 973380XX","36,000 OMR",150.0,for sale
Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,", Ja'alan Bani Bu Ali, 929099XX","9,000 OMR",150.0,for sale
390 m2 5 Bedrooms Townhouse for Sale in Al Batinah Suwaiq,", Suwaiq, 951623XX","61,500 OMR",390.0,for sale
120 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 922100XX","56,000 OMR",120.0,for sale
Farm Land for Sale in Al Dakhiliya Sumail,", Sumail, 994331XX","40,000 OMR",150.0,for sale
Kitchen cabinet showroom,", Barka, 936073XX","3,000 OMR",150.0,for sale
258 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Izki,", Izki, 946999XX","30,000 OMR",258.0,for sale
480 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 953495XX","110,000 OMR",480.0,for sale
Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,", Ja'alan Bani Bu Ali, 921606XX","20,000 OMR",150.0,for sale
Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,", Ja'alan Bani Bu Ali, 921606XX","10,500 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Sumail,", Sumail, 995453XX","30,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 985424XX","5,800 OMR",150.0,for sale
131 m2 2 Bedrooms Apartments for Sale in Muscat Al-Sifah,", Al-Sifah, 939918XX","95,000 OMR",131.0,for sale
107 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,", Al Mouj, 939918XX","100,000 OMR",107.0,for sale
61 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,", Al Mouj, 939918XX","78,000 OMR",61.0,for sale
تسويق مجاني لعقارات الموج مسقط!Free marketing for the real estate of muscatmouj!,", Salala, 939918XX","1,000 OMR",120.0,for sale
Special sale of 2-story villa with 3 bedrooms + permanent residence,", Al Mouj, 939918XX","430,000 OMR",410.0,for sale
مكاتب فخمة في مركز اعمال الموج ‏AL Mouj Business Park,", Al Mouj, 939918XX","8,000,000 OMR",4152.0,for sale
455 m2 5 Bedrooms Villa for Sale in Muscat Al Mouj,", Al Mouj, 939918XX","573,300 OMR",455.0,for sale
Luxury apartment in Al Mouj Juman one  2BHK plus maid room,", Al Mouj, 978500XX","270,000 OMR",155.0,for sale
520 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 990466XX","177,000 OMR",520.0,for sale
263 m2 4 Bedrooms Villa for Sale in Al Sharqiya Ibra,", Ibra, 942001XX",470 OMR,263.0,for sale
Almouj garden4 luxury apartment,", Al Mouj, 799482XX","96,000 OMR",96000.0,for sale
Residential Land for Sale in Al Batinah Saham,", Saham, 951551XX","1,690 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 954040XX","19,990 OMR",150.0,for sale
330 m2 4 Bedrooms Villa for Sale in Muscat Bosher,", Bosher, 970390XX","87,000 OMR",330.0,for sale
Residential Land for Sale in Al Batinah Sohar,", Sohar, 951551XX","6,490 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Sohar,", Sohar, 951551XX","8,700 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 923997XX","4,000 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Nizwa,", Nizwa, 990460XX","24,000 OMR",150.0,for sale
250 m2 5 Bedrooms Townhouse for Sale in Al Batinah Saham,", Saham, 921959XX","20,000 OMR",250.0,for sale
Industrial Land for Sale in Al Batinah Sohar,", Sohar, 969990XX","38,000 OMR",150.0,for sale
314 m2 5 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 711930XX","67,000 OMR",314.0,for sale
Residential Land for Sale in Al Dakhiliya Sumail,", Sumail, 977499XX","27,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 995245XX","17,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Mawaleh,", Al Mawaleh, 965855XX","88,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Seeb,", Seeb, 799998XX","30,000 OMR",150.0,for sale
122 m2 3 Bedrooms Apartments for Sale in Muscat Amerat,", Amerat, 924555XX","32,000 OMR",122.0,for sale
بقالة جاهزة للبيع بسعر مغري سوبر ماركت,", Wadi Al Ma'awal, 933526XX","2,000 OMR",20.0,for sale
296 m2 4 Bedrooms Villa for Sale in Al Dakhiliya Sumail,", Sumail, 976708XX","60,000 OMR",296.0,for sale
Industrial Land for Sale in Dhofar Muqshin,", Muqshin, 926568XX","5,700 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 926568XX","19,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 945723XX","18,500 OMR",150.0,for sale
134 m2 3 Bedrooms Apartments for Sale in Muscat Al Khoud,", Al Khoud, 771350XX","48,000 OMR",134.0,for sale
48 m2 Studio Apartments for Sale in Muscat Halban,", Halban, 946195XX","9,500 OMR",48.0,for sale
52 m2 Studio Apartments for Sale in Muscat Al-Sifah,", Al-Sifah, 919595XX","45,000 OMR",52.0,for sale
140 m2 4 Bedrooms Villa for Sale in Dhofar Taqah,", Taqah, 953490XX","37,000 OMR",140.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 771313XX","6,500 OMR",150.0,for sale
425 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Khoud,", Al Khoud, 947454XX","126,000 OMR",425.0,for sale
450 m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,", Al-Hail, 787927XX","3,000 OMR",450.0,for sale
Commercial Land for Sale in Dhofar Salala,", Salala, 963505XX","35,000 OMR",150.0,for sale
328 m2 More than 6 bedrooms Villa for Sale in Al Batinah Al Rumais,", Al Rumais, 934006XX","66,500 OMR",328.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 799998XX","14,900 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Saham,", Saham, 988344XX","9,000 OMR",150.0,for sale
64 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 939918XX","26,000 OMR",64.0,for sale
D اراضي سكنيه في الشخاخيط امتداد المنومه فرصه للاستثمار,", Barka, 977940XX","35,000 OMR",150.0,for sale
Studio in Muscut bay (zen resident project ) Garden and pool view and ready in 12 months,", Other, 901133XX","73,000 OMR",62.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 953434XX","22,500 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Bahla,", Bahla, 967177XX","9,800 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 923607XX","30,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Sohar,", Sohar, 951726XX","17,000 OMR",150.0,for sale
Residential Land for Sale in Al Sharqiya Sur,", Sur, 961114XX","15,000 OMR",150.0,for sale
Farm Land for Sale in Al Dakhiliya Sumail,", Sumail, 990743XX","59,000 OMR",150.0,for sale
Residential Land for Sale in Al Dhahirah Ibri,", Ibri, 965205XX","6,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 933185XX","25,000 OMR",150.0,for sale
Specialty Coffee shop for sale     مقهى للقهوة المختصة للبيع,", Al Khoud, 980568XX","19,000 OMR",160.0,for sale
Furnished 1-Bedroom Apartment with Golf View for Sale in Jebel Sifah,", Al-Sifah, 919595XX","53,500 OMR",61.0,for sale
Residential Land for Sale in Al Sharqiya Bidiya,", Bidiya, 914442XX","9,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Khaboura,", Al Khaboura, 996312XX","3,500 OMR",150.0,for sale
200 m2 3 Bedrooms Villa for Sale in Muscat Amerat,", Amerat, 771912XX","39,000 OMR",200.0,for sale
112 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 994962XX","25,500 OMR",112.0,for sale
Mixed Use Land for Sale in Muscat Al Maabilah,", Al Maabilah, 913331XX","120,000 OMR",150.0,for sale
111 m2 2 Bedrooms Apartments for Sale in Muscat Qurm,", Qurm, 969896XX","53,000 OMR",111.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 913331XX","8,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Khoud,", Al Khoud, 913331XX","225,000 OMR",150.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 963505XX","21,000 OMR",150.0,for sale
118 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 988969XX","45,000 OMR",118.0,for sale
327 m2 5 Bedrooms Villa for Sale in Muscat Seeb,", Seeb, 988969XX","78,000 OMR",327.0,for sale
Residential Land for Sale in Muscat Al-Hail,", Al-Hail, 982501XX","93,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 941491XX","17,500 OMR",150.0,for sale
94 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 954205XX","40,500 OMR",94.0,for sale
125 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 954205XX","48,000 OMR",125.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 992510XX","8,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 992510XX","8,800 OMR",150.0,for sale
